기준월,년,월,콘텐츠구분,서비스 형태,프로그램 제목,프로그램 코드,매출,KBS저작권료,외부저작권료
2025-01-01,2025,1,KBS,VOD,뮤직뱅크 인 칠레,T2018-0178,1584,1362,0
2025-01-01,2025,1,KBS,VOD,남편 갱생 프로젝트 가두리,T2017-0566,438,377,0
2025-01-01,2025,1,KBS,VOD,셀럽피디,T2018-0187,22,19,0
2025-01-01,2025,1,KBS,VOD,삼청동 외할머니,T2018-0647,1047,900,0
2025-01-01,2025,1,KBS,VOD,뮤직뱅크 인 홍콩,T2019-0011,1172,1008,0
2025-01-01,2025,1,KBS,VOD,엄마를 부탁해,T2014-0026,80,69,0
2025-01-01,2025,1,KBS,VOD,7인의 미스 코리아,T2014-0759,26,22,0
2025-01-01,2025,1,KBS,VOD,전교톱텐,T2020-1437,2885,1489,1154
2025-01-01,2025,1,KBS,VOD,음치는 없다 - 엑시트,T2019-0478,210,181,0
2025-01-01,2025,1,KBS,VOD,꿀잼 퀴즈방,T2018-0571,1,1,0
2025-01-01,2025,1,KBS,VOD,지식 플렉스쇼 이거 알아?,T2021-0363,30,26,0
2025-01-01,2025,1,KBS,VOD,내 여자의 핸드폰,T2017-0593,345,297,0
2025-01-01,2025,1,KBS,VOD,어썸라이브,X2019-0001,113,97,0
2025-01-01,2025,1,KBS,VOD,헬로 프렌즈 - 친구추가,T2016-0600,150,129,0
2025-01-01,2025,1,KBS,VOD,조선팝 어게인,T2021-0023,190,163,0
2025-01-01,2025,1,KBS,VOD,뮤직뱅크 인 강릉,T2019-0327,1433,1232,0
2025-01-01,2025,1,KBS,VOD,어송포유 시즌4,T2014-0518,111,95,0
2025-01-01,2025,1,KBS,VOD,대단한레시피,T2015-0264,4,3,0
2025-01-01,2025,1,KBS,VOD,투명인간,T2014-0849,1004,863,0
2025-01-01,2025,1,KBS,VOD,코리아 온 스테이지 - 남원 광한루,T2021-0346,45,39,0
2025-01-01,2025,1,KBS,VOD,스타 골든벨,T2004-0954,44586,38344,0
2025-01-01,2025,1,KBS,VOD,TV 라떼는,T2020-1515,153,132,0
2025-01-01,2025,1,KBS,VOD,근무중 이상무,T2013-0423,161,138,0
2025-01-01,2025,1,KBS,VOD,부르면 복이 와요 달리는 노래방,T2019-0264,268,230,0
2025-01-01,2025,1,KBS,VOD,별친구,T2014-0028,50,43,0
2025-01-01,2025,1,KBS,VOD,2019 송년음악회 나의 기타 이야기,T2019-0457,10,9,0
2025-01-01,2025,1,KBS,VOD,2015 인천 펜타포트 락 페스티벌,T2015-0383,411,353,0
2025-01-01,2025,1,KBS,VOD,가싶남,T2015-0773,73,63,0
2025-01-01,2025,1,KBS,VOD,덕화TV2 덕화다방,T2018-0751,29,25,0
2025-01-01,2025,1,KBS,VOD,네 멋대로 해라,T2015-0360,339,292,0
2025-01-01,2025,1,KBS,VOD,나는 국가대표다,T2014-0629,12,10,0
2025-01-01,2025,1,KBS,VOD,2018 평창동계올림픽 K-POP 콘서트,T2016-0603,340,292,0
2025-01-01,2025,1,KBS,VOD,뮤직뱅크 인 멕시코,T2014-0799,1826,1570,0
2025-01-01,2025,1,KBS,VOD,뮤직뱅크 인 하노이,T2015-0157,677,582,0
2025-01-01,2025,1,KBS,VOD,뮤직뱅크 인 자카르타,T2013-0122,4168,3584,0
2025-01-01,2025,1,KBS,VOD,2016 K-POP 월드페스티벌,T2016-0652,10,9,0
2025-01-01,2025,1,KBS,VOD,후계자,T2015-0202,734,631,0
